id,employee_id,name,role,department,email,phone,joining_date,notice_period_days,previous_hospital,previous_experience_years,current_salary,status,last_updated
12,EMP0012,Michael Brown,Doctor,Pediatrics,employee12@healthcare.com,+1-310-163-1889,2023-04-16,30,General Medical Center,1,111020,Active,2025-12-12T07:51:19.426121
13,EMP0013,James Davis,Lab Technician,Emergency,employee13@healthcare.com,+1-642-227-5830,2021-05-04,30,Care Hospital,12,131769,Active,2025-12-12T07:51:19.426121
14,EMP0014,Lisa Williams,Receptionist,Orthopedics,employee14@healthcare.com,+1-982-325-5439,2021-01-08,90,Care Hospital,13,96982,Active,2025-12-12T07:51:19.426121
15,EMP0015,Lisa Moore,Administrator,Neurology,employee15@healthcare.com,+1-428-830-2260,2024-10-15,30,General Medical Center,13,114596,On Leave,2025-12-12T07:51:19.426121
16,EMP0016,Sarah Davis,Administrator,Surgery,employee16@healthcare.com,+1-977-189-1042,2022-11-06,30,General Medical Center,14,69104,Active,2025-12-12T07:51:19.426121
17,EMP0017,James Brown,Nurse,Surgery,employee17@healthcare.com,+1-745-332-4041,2023-10-04,90,Metro Clinic,9,93993,Active,2025-12-12T07:51:19.426121
18,EMP0018,David Johnson,Pharmacist,Emergency,employee18@healthcare.com,+1-497-770-9118,2022-02-02,30,Metro Clinic,1,142402,On Leave,2025-12-12T07:51:19.426121
19,EMP0019,Jessica Anderson,Nurse,Cardiology,employee19@healthcare.com,+1-918-298-1013,2021-01-19,30,Central Hospital,3,101126,Active,2025-12-12T07:51:19.426121
20,EMP0020,Michael Davis,Doctor,Neurology,employee20@healthcare.com,+1-836-691-9287,2022-04-18,60,General Medical Center,14,108745,Active,2025-12-12T07:51:19.426121
21,EMP0021,John Johnson,Administrator,Orthopedics,employee21@healthcare.com,+1-997-956-8943,2023-09-03,90,Central Hospital,3,99716,On Leave,2025-12-12T07:51:19.426121
22,EMP0022,James Smith,Pharmacist,Emergency,employee22@healthcare.com,+1-403-309-3141,2022-06-05,90,City Hospital,7,147871,Active,2025-12-12T07:51:19.426121
23,EMP0023,Emily Miller,Doctor,Pediatrics,employee23@healthcare.com,+1-977-216-5311,2021-09-03,30,Care Hospital,1,108923,Active,2025-12-12T07:51:19.426121
24,EMP0024,Robert Moore,Lab Technician,Emergency,employee24@healthcare.com,+1-527-315-5103,2021-06-11,30,City Hospital,13,82552,Active,2025-12-12T07:51:19.426121
25,EMP0025,Jessica Johnson,Nurse,Pediatrics,employee25@healthcare.com,+1-995-253-4526,2021-12-25,60,Central Hospital,3,149023,Active,2025-12-12T07:51:19.426121
26,EMP0026,Robert Moore,Lab Technician,Pediatrics,employee26@healthcare.com,+1-416-732-4379,2023-07-20,30,City Hospital,15,54935,Active,2025-12-12T07:51:19.426121
27,EMP0027,Lisa Brown,Nurse,Orthopedics,employee27@healthcare.com,+1-925-326-3153,2024-09-27,60,Care Hospital,5,44973,Active,2025-12-12T07:51:19.426121
28,EMP0028,Lisa Wilson,Receptionist,Surgery,employee28@healthcare.com,+1-471-248-9742,2025-09-26,90,Central Hospital,4,44438,Active,2025-12-12T07:51:19.426121
29,EMP0029,David Moore,Pharmacist,Emergency,employee29@healthcare.com,+1-629-796-2039,2022-10-28,90,Care Hospital,10,50701,Active,2025-12-12T07:51:19.426121
30,EMP0030,Jessica Miller,Pharmacist,Orthopedics,employee30@healthcare.com,+1-961-478-1299,2025-04-21,30,Care Hospital,0,97341,Active,2025-12-12T07:51:19.426121
31,EMP0031,Robert Johnson,Pharmacist,Emergency,employee31@healthcare.com,+1-484-537-8933,2021-07-30,60,Care Hospital,0,132683,On Leave,2025-12-12T07:51:19.426121
32,EMP0032,Jessica Taylor,Administrator,Pediatrics,employee32@healthcare.com,+1-956-996-6088,2022-02-21,90,General Medical Center,11,70944,Active,2025-12-12T07:51:19.428857
33,EMP0033,James Williams,Administrator,Orthopedics,employee33@healthcare.com,+1-944-609-9549,2024-09-14,60,Care Hospital,15,56855,Active,2025-12-12T07:51:19.428857
34,EMP0034,Sarah Brown,Lab Technician,Orthopedics,employee34@healthcare.com,+1-959-835-2787,2022-06-08,30,General Medical Center,12,132105,Active,2025-12-12T07:51:19.428857
35,EMP0035,David Johnson,Pharmacist,Surgery,employee35@healthcare.com,+1-393-450-3840,2022-06-09,60,General Medical Center,0,42000,On Leave,2025-12-12T07:51:19.428857
36,EMP0036,Maria Taylor,Nurse,Cardiology,employee36@healthcare.com,+1-752-975-7415,2024-01-05,60,Metro Clinic,11,85130,On Leave,2025-12-12T07:51:19.428857
37,EMP0037,Jessica Wilson,Nurse,Neurology,employee37@healthcare.com,+1-853-485-4515,2020-12-17,30,Care Hospital,2,58688,Active,2025-12-12T07:51:19.428857
38,EMP0038,David Johnson,Doctor,Emergency,employee38@healthcare.com,+1-233-655-8160,2025-07-03,90,General Medical Center,3,109797,On Leave,2025-12-12T07:51:19.428857
39,EMP0039,Jessica Miller,Receptionist,Cardiology,employee39@healthcare.com,+1-365-476-8019,2025-04-15,30,City Hospital,10,64194,On Leave,2025-12-12T07:51:19.428857
40,EMP0040,Michael Brown,Nurse,Cardiology,employee40@healthcare.com,+1-721-506-6520,2025-06-11,60,General Medical Center,5,130659,Active,2025-12-12T07:51:19.428857
41,EMP0041,Sarah Taylor,Administrator,Emergency,employee41@healthcare.com,+1-318-261-4913,2023-06-25,30,Central Hospital,11,112815,On Leave,2025-12-12T07:51:19.428857
42,EMP0042,James Moore,Lab Technician,Neurology,employee42@healthcare.com,+1-777-796-9788,2024-01-31,30,City Hospital,3,81416,Active,2025-12-12T07:51:19.428857
43,EMP0043,Lisa Davis,Doctor,Emergency,employee43@healthcare.com,+1-576-288-6865,2025-04-02,30,Central Hospital,2,107942,On Leave,2025-12-12T07:51:19.428857
44,EMP0044,David Davis,Doctor,Neurology,employee44@healthcare.com,+1-503-109-8898,2021-04-15,90,Care Hospital,14,93324,Active,2025-12-12T07:51:19.428857
45,EMP0045,Michael Taylor,Receptionist,Orthopedics,employee45@healthcare.com,+1-334-774-9275,2021-03-31,90,City Hospital,1,128296,Active,2025-12-12T07:51:19.428857
46,EMP0046,Maria Williams,Lab Technician,Surgery,employee46@healthcare.com,+1-298-302-7321,2023-04-21,30,City Hospital,14,146692,On Leave,2025-12-12T07:51:19.428857
47,EMP0047,Lisa Smith,Administrator,Pediatrics,employee47@healthcare.com,+1-528-441-4173,2023-10-26,30,Care Hospital,13,138378,Active,2025-12-12T07:51:19.428857
48,EMP0048,Maria Williams,Receptionist,Surgery,employee48@healthcare.com,+1-518-772-7572,2025-05-11,90,Metro Clinic,14,68901,Active,2025-12-12T07:51:19.428857
49,EMP0049,Emily Miller,Lab Technician,Neurology,employee49@healthcare.com,+1-761-979-5237,2022-08-01,30,Central Hospital,0,96349,Active,2025-12-12T07:51:19.428857
50,EMP0050,Sarah Moore,Lab Technician,Emergency,employee50@healthcare.com,+1-429-287-6921,2022-05-08,60,General Medical Center,11,93982,Active,2025-12-12T07:51:19.428857
51,EMP0051,Sarah Wilson,Doctor,Neurology,employee51@healthcare.com,+1-773-590-2109,2025-08-02,90,Care Hospital,11,119675,Active,2025-12-12T07:51:19.428857
52,EMP0052,Jessica Anderson,Receptionist,Cardiology,employee52@healthcare.com,+1-690-876-6258,2023-05-22,60,Metro Clinic,5,59644,Active,2025-12-12T07:51:19.428857
53,EMP0053,John Moore,Administrator,Emergency,employee53@healthcare.com,+1-984-244-9716,2021-07-13,90,General Medical Center,7,137358,Active,2025-12-12T07:51:19.428857
54,EMP0054,David Johnson,Doctor,Neurology,employee54@healthcare.com,+1-461-616-4960,2021-02-22,90,General Medical Center,7,131230,Active,2025-12-12T07:51:19.428857
55,EMP0055,Michael Miller,Administrator,Cardiology,employee55@healthcare.com,+1-556-995-7300,2021-01-02,30,Central Hospital,15,69476,Active,2025-12-12T07:51:19.428857
56,EMP0056,David Moore,Administrator,Pediatrics,employee56@healthcare.com,+1-221-262-5569,2024-01-27,30,Metro Clinic,14,134619,On Leave,2025-12-12T07:51:19.428857
57,EMP0057,Lisa Davis,Administrator,Orthopedics,employee57@healthcare.com,+1-555-468-1881,2022-03-02,90,Care Hospital,12,140650,Active,2025-12-12T07:51:19.428857
58,EMP0058,Emily Wilson,Nurse,Emergency,employee58@healthcare.com,+1-641-424-1391,2024-08-26,60,City Hospital,9,133520,Active,2025-12-12T07:51:19.428857
59,EMP0059,Emily Williams,Receptionist,Emergency,employee59@healthcare.com,+1-398-846-9782,2025-10-07,90,General Medical Center,4,52691,Active,2025-12-12T07:51:19.428857
60,EMP0060,Robert Smith,Receptionist,Orthopedics,employee60@healthcare.com,+1-620-508-9521,2022-12-25,90,Care Hospital,15,99968,Active,2025-12-12T07:51:19.428857
61,EMP0061,David Smith,Lab Technician,Surgery,employee61@healthcare.com,+1-536-268-5069,2025-06-30,60,Central Hospital,1,115586,Active,2025-12-12T07:51:19.428857
62,EMP0062,Maria Anderson,Nurse,Cardiology,employee62@healthcare.com,+1-819-685-3162,2023-07-04,30,General Medical Center,10,40577,On Leave,2025-12-12T07:51:19.428857
63,EMP0063,Jessica Anderson,Administrator,Neurology,employee63@healthcare.com,+1-702-561-6678,2022-09-04,60,Care Hospital,0,140952,Active,2025-12-12T07:51:19.428857
64,EMP0064,Sarah Miller,Lab Technician,Emergency,employee64@healthcare.com,+1-387-482-9917,2023-09-14,30,Metro Clinic,15,135713,On Leave,2025-12-12T07:51:19.428857
65,EMP0065,James Brown,Nurse,Pediatrics,employee65@healthcare.com,+1-521-293-9580,2023-06-01,60,Care Hospital,4,78788,Active,2025-12-12T07:51:19.428857
66,EMP0066,Maria Anderson,Lab Technician,Surgery,employee66@healthcare.com,+1-471-537-5884,2025-04-29,90,Central Hospital,1,77092,Active,2025-12-12T07:51:19.428857
67,EMP0067,Maria Davis,Receptionist,Cardiology,employee67@healthcare.com,+1-342-186-9641,2024-07-15,90,Central Hospital,10,48374,Active,2025-12-12T07:51:19.428857
68,EMP0068,Robert Moore,Doctor,Emergency,employee68@healthcare.com,+1-519-543-1681,2024-07-01,30,Central Hospital,8,128159,Active,2025-12-12T07:51:19.428857
69,EMP0069,Emily Taylor,Pharmacist,Neurology,employee69@healthcare.com,+1-270-678-9524,2025-08-26,60,Metro Clinic,7,70387,Active,2025-12-12T07:51:19.428857
70,EMP0070,Sarah Moore,Receptionist,Cardiology,employee70@healthcare.com,+1-916-892-8978,2021-09-30,60,Care Hospital,5,79519,Active,2025-12-12T07:51:19.428857
71,EMP0071,James Anderson,Lab Technician,Neurology,employee71@healthcare.com,+1-768-133-9764,2023-10-17,30,City Hospital,15,88869,On Leave,2025-12-12T07:51:19.428857
72,EMP0072,James Davis,Lab Technician,Pediatrics,employee72@healthcare.com,+1-609-963-8428,2024-06-26,90,Care Hospital,14,92157,Active,2025-12-12T07:51:19.428857
73,EMP0073,John Davis,Nurse,Orthopedics,employee73@healthcare.com,+1-360-657-3161,2025-09-10,90,Central Hospital,4,50373,Active,2025-12-12T07:51:19.428857
74,EMP0074,Sarah Wilson,Administrator,Neurology,employee74@healthcare.com,+1-835-811-6886,2021-03-12,30,Metro Clinic,7,57881,Active,2025-12-12T07:51:19.428857
75,EMP0075,Jessica Moore,Receptionist,Pediatrics,employee75@healthcare.com,+1-385-577-5847,2024-02-26,30,Metro Clinic,0,102589,Active,2025-12-12T07:51:19.431025
76,EMP0076,Lisa Moore,Receptionist,Orthopedics,employee76@healthcare.com,+1-476-251-1048,2023-11-01,60,Care Hospital,12,44600,On Leave,2025-12-12T07:51:19.431025
77,EMP0077,John Davis,Pharmacist,Emergency,employee77@healthcare.com,+1-391-791-7724,2023-12-13,90,City Hospital,0,117336,Active,2025-12-12T07:51:19.431025
78,EMP0078,Maria Miller,Administrator,Cardiology,employee78@healthcare.com,+1-217-704-9791,2025-04-02,60,City Hospital,10,123714,Active,2025-12-12T07:51:19.431025
79,EMP0079,Sarah Johnson,Lab Technician,Neurology,employee79@healthcare.com,+1-499-340-4897,2021-07-19,60,Central Hospital,1,76961,On Leave,2025-12-12T07:51:19.431025
80,EMP0080,James Anderson,Administrator,Emergency,employee80@healthcare.com,+1-296-545-8191,2024-10-01,30,Metro Clinic,10,49335,Active,2025-12-12T07:51:19.431025
81,EMP0081,James Miller,Doctor,Orthopedics,employee81@healthcare.com,+1-367-105-4882,2022-08-23,30,Care Hospital,6,86091,On Leave,2025-12-12T07:51:19.431025
82,EMP0082,Sarah Davis,Receptionist,Neurology,employee82@healthcare.com,+1-646-638-6658,2024-03-25,90,City Hospital,2,94465,Active,2025-12-12T07:51:19.431025
83,EMP0083,Sarah Anderson,Pharmacist,Surgery,employee83@healthcare.com,+1-420-984-2335,2022-02-04,60,Metro Clinic,4,63808,On Leave,2025-12-12T07:51:19.431025
84,EMP0084,Lisa Moore,Doctor,Pediatrics,employee84@healthcare.com,+1-210-763-5021,2021-08-30,60,Care Hospital,15,65246,Active,2025-12-12T07:51:19.431025
85,EMP0085,Lisa Wilson,Receptionist,Pediatrics,employee85@healthcare.com,+1-762-434-5873,2025-02-12,60,Care Hospital,5,100515,Active,2025-12-12T07:51:19.431025
86,EMP0086,James Davis,Nurse,Pediatrics,employee86@healthcare.com,+1-507-961-9956,2021-06-11,30,City Hospital,6,120585,Active,2025-12-12T07:51:19.431025
87,EMP0087,Lisa Miller,Nurse,Neurology,employee87@healthcare.com,+1-336-749-3037,2025-03-12,90,Metro Clinic,11,94842,Active,2025-12-12T07:51:19.431025
88,EMP0088,Maria Brown,Nurse,Neurology,employee88@healthcare.com,+1-212-506-4556,2024-08-22,30,Metro Clinic,12,51383,Active,2025-12-12T07:51:19.431025
89,EMP0089,Maria Johnson,Pharmacist,Emergency,employee89@healthcare.com,+1-464-982-4335,2023-02-20,60,General Medical Center,1,93852,Active,2025-12-12T07:51:19.431025
90,EMP0090,Jessica Smith,Receptionist,Neurology,employee90@healthcare.com,+1-783-150-8363,2025-02-20,30,General Medical Center,13,46189,Active,2025-12-12T07:51:19.431025
91,EMP0091,David Smith,Administrator,Surgery,employee91@healthcare.com,+1-700-734-8289,2025-06-11,90,Metro Clinic,7,106607,Active,2025-12-12T07:51:19.431025
92,EMP0092,Robert Miller,Nurse,Cardiology,employee92@healthcare.com,+1-329-482-7638,2022-05-27,30,Central Hospital,13,137320,Active,2025-12-12T07:51:19.431025
93,EMP0093,Emily Williams,Lab Technician,Emergency,employee93@healthcare.com,+1-214-250-8972,2021-08-28,30,Care Hospital,1,140066,Active,2025-12-12T07:51:19.431025
94,EMP0094,Jessica Anderson,Administrator,Cardiology,employee94@healthcare.com,+1-592-973-5066,2023-12-15,60,Care Hospital,6,91870,Active,2025-12-12T07:51:19.431025
95,EMP0095,James Williams,Administrator,Emergency,employee95@healthcare.com,+1-786-169-9144,2021-05-12,30,Metro Clinic,11,149576,Active,2025-12-12T07:51:19.431025
96,EMP0096,Robert Moore,Pharmacist,Cardiology,employee96@healthcare.com,+1-548-476-7432,2023-08-11,90,General Medical Center,11,41063,Active,2025-12-12T07:51:19.431025
97,EMP0097,John Brown,Administrator,Pediatrics,employee97@healthcare.com,+1-589-660-9576,2025-08-16,60,City Hospital,14,53877,Active,2025-12-12T07:51:19.431025
98,EMP0098,Emily Wilson,Nurse,Cardiology,employee98@healthcare.com,+1-594-702-8742,2023-06-19,60,General Medical Center,7,101182,On Leave,2025-12-12T07:51:19.431025
99,EMP0099,David Davis,Lab Technician,Cardiology,employee99@healthcare.com,+1-682-300-9624,2022-03-15,60,Central Hospital,6,51378,Active,2025-12-12T07:51:19.431025
100,EMP0100,James Smith,Doctor,Neurology,employee100@healthcare.com,+1-703-921-6093,2025-08-16,30,City Hospital,13,107602,Active,2025-12-12T07:51:19.431025
101,EMP0101,Jessica Anderson,Receptionist,Pediatrics,employee101@healthcare.com,+1-615-968-2347,2024-09-27,60,Metro Clinic,13,120450,Active,2025-12-12T07:51:19.431025
102,EMP0102,Emily Smith,Receptionist,Neurology,employee102@healthcare.com,+1-986-370-8774,2021-03-20,60,Central Hospital,8,50075,On Leave,2025-12-12T07:51:19.431025
103,EMP0103,James Davis,Nurse,Surgery,employee103@healthcare.com,+1-962-104-1892,2022-09-22,30,Care Hospital,1,63818,Active,2025-12-12T07:51:19.431025
104,EMP0104,Jessica Taylor,Doctor,Pediatrics,employee104@healthcare.com,+1-355-601-9528,2020-12-30,30,Central Hospital,6,64555,Active,2025-12-12T07:51:19.431025
105,EMP0105,James Davis,Nurse,Orthopedics,employee105@healthcare.com,+1-623-384-6930,2024-03-09,30,General Medical Center,14,100446,Active,2025-12-12T07:51:19.431025
106,EMP0106,James Moore,Receptionist,Pediatrics,employee106@healthcare.com,+1-993-531-7418,2024-06-05,90,Central Hospital,12,50403,Active,2025-12-12T07:51:19.431025
107,EMP0107,Robert Davis,Doctor,Cardiology,employee107@healthcare.com,+1-418-180-4871,2024-06-12,90,Central Hospital,8,50082,On Leave,2025-12-12T07:51:19.431025
108,EMP0108,Robert Anderson,Nurse,Emergency,employee108@healthcare.com,+1-793-301-6612,2022-09-18,60,Central Hospital,0,95269,Active,2025-12-12T07:51:19.431025
109,EMP0109,Emily Williams,Receptionist,Orthopedics,employee109@healthcare.com,+1-454-584-3650,2021-11-09,30,Care Hospital,1,140656,Active,2025-12-12T07:51:19.431025
110,EMP0110,Robert Brown,Pharmacist,Pediatrics,employee110@healthcare.com,+1-642-753-5353,2025-10-07,90,City Hospital,9,66058,Active,2025-12-12T07:51:19.431025
111,EMP0111,John Moore,Doctor,Pediatrics,employee111@healthcare.com,+1-371-642-3924,2022-04-03,30,Care Hospital,0,65267,Active,2025-12-12T07:51:19.431025
112,EMP0112,Maria Moore,Receptionist,Pediatrics,employee112@healthcare.com,+1-920-903-8453,2025-06-05,30,Metro Clinic,14,106945,Active,2025-12-12T07:51:19.431025
113,EMP0113,Jessica Williams,Pharmacist,Surgery,employee113@healthcare.com,+1-801-839-1091,2021-08-19,60,Metro Clinic,14,73174,Active,2025-12-12T07:51:19.431025
114,EMP0114,John Wilson,Doctor,Emergency,employee114@healthcare.com,+1-364-375-3051,2025-10-23,60,Care Hospital,13,132613,On Leave,2025-12-12T07:51:19.431025
115,EMP0115,Jessica Johnson,Lab Technician,Surgery,employee115@healthcare.com,+1-376-959-5409,2021-01-22,90,General Medical Center,12,129307,Active,2025-12-12T07:51:19.431025
116,EMP0116,David Johnson,Receptionist,Cardiology,employee116@healthcare.com,+1-978-890-3787,2024-02-21,90,Care Hospital,15,61044,On Leave,2025-12-12T07:51:19.431025
117,EMP0117,John Moore,Pharmacist,Emergency,employee117@healthcare.com,+1-389-853-8941,2023-03-03,30,Metro Clinic,8,121226,Active,2025-12-12T07:51:19.431025
118,EMP0118,Jessica Miller,Receptionist,Neurology,employee118@healthcare.com,+1-445-492-8549,2024-10-31,30,General Medical Center,4,75539,Active,2025-12-12T07:51:19.431025
119,EMP0119,Robert Wilson,Lab Technician,Emergency,employee119@healthcare.com,+1-446-768-8545,2023-10-19,30,General Medical Center,1,122618,On Leave,2025-12-12T07:51:19.431025
120,EMP0120,Jessica Anderson,Receptionist,Orthopedics,employee120@healthcare.com,+1-892-634-9252,2022-09-10,30,General Medical Center,5,72988,Active,2025-12-12T07:51:19.431025
121,EMP0121,Michael Williams,Nurse,Orthopedics,employee121@healthcare.com,+1-854-949-9561,2025-10-08,60,Metro Clinic,3,75612,Active,2025-12-12T07:51:19.431025
122,EMP0122,James Davis,Lab Technician,Emergency,employee122@healthcare.com,+1-424-838-8078,2023-01-17,90,General Medical Center,12,65892,Active,2025-12-12T07:51:19.431025
123,EMP0123,James Miller,Receptionist,Orthopedics,employee123@healthcare.com,+1-919-148-4106,2025-07-04,30,Central Hospital,15,50177,Active,2025-12-12T07:51:19.431025
124,EMP0124,Maria Moore,Pharmacist,Neurology,employee124@healthcare.com,+1-249-235-6869,2025-01-23,30,Central Hospital,1,98835,Active,2025-12-12T07:51:19.431025
125,EMP0125,Sarah Moore,Nurse,Pediatrics,employee125@healthcare.com,+1-612-547-2451,2021-08-28,60,General Medical Center,14,91926,On Leave,2025-12-12T07:51:19.431025
126,EMP0126,Jessica Smith,Doctor,Pediatrics,employee126@healthcare.com,+1-594-240-7723,2025-09-24,60,General Medical Center,2,143029,Active,2025-12-12T07:51:19.431025
127,EMP0127,Robert Smith,Administrator,Pediatrics,employee127@healthcare.com,+1-517-948-8616,2025-04-03,90,Care Hospital,8,79543,On Leave,2025-12-12T07:51:19.431025
128,EMP0128,John Brown,Pharmacist,Emergency,employee128@healthcare.com,+1-457-787-5146,2021-01-19,90,Metro Clinic,4,88903,Active,2025-12-12T07:51:19.431025
129,EMP0129,Michael Smith,Receptionist,Emergency,employee129@healthcare.com,+1-417-606-7148,2021-12-25,30,Care Hospital,4,66627,Active,2025-12-12T07:51:19.431025
130,EMP0130,Sarah Smith,Pharmacist,Surgery,employee130@healthcare.com,+1-801-475-1883,2021-07-27,30,General Medical Center,6,132075,Active,2025-12-12T07:51:19.431025
131,EMP0131,Emily Williams,Pharmacist,Cardiology,employee131@healthcare.com,+1-350-355-6286,2024-03-04,60,General Medical Center,12,68331,Active,2025-12-12T07:51:19.431025
132,EMP0132,James Moore,Receptionist,Emergency,employee132@healthcare.com,+1-559-458-6198,2023-09-05,30,Care Hospital,4,87812,Active,2025-12-12T07:51:19.431025
133,EMP0133,Emily Taylor,Doctor,Emergency,employee133@healthcare.com,+1-524-760-5649,2022-08-12,90,General Medical Center,12,67359,On Leave,2025-12-12T07:51:19.431025
134,EMP0134,Lisa Taylor,Receptionist,Emergency,employee134@healthcare.com,+1-237-928-4401,2021-05-10,90,Central Hospital,10,64601,Active,2025-12-12T07:51:19.431025
135,EMP0135,David Miller,Doctor,Orthopedics,employee135@healthcare.com,+1-966-364-2418,2023-03-05,90,Metro Clinic,0,82977,Active,2025-12-12T07:51:19.431025
136,EMP0136,Sarah Smith,Nurse,Surgery,employee136@healthcare.com,+1-713-642-6071,2022-10-14,30,Metro Clinic,7,114305,On Leave,2025-12-12T07:51:19.431025
137,EMP0137,Emily Anderson,Doctor,Cardiology,employee137@healthcare.com,+1-571-137-7697,2021-03-27,30,City Hospital,11,76516,On Leave,2025-12-12T07:51:19.431025
138,EMP0138,Michael Moore,Lab Technician,Surgery,employee138@healthcare.com,+1-719-144-8955,2021-01-23,30,General Medical Center,13,80759,On Leave,2025-12-12T07:51:19.431025
139,EMP0139,Emily Taylor,Administrator,Neurology,employee139@healthcare.com,+1-321-707-1921,2021-06-09,30,Care Hospital,9,128319,On Leave,2025-12-12T07:51:19.431025
140,EMP0140,Jessica Anderson,Lab Technician,Orthopedics,employee140@healthcare.com,+1-516-319-7097,2023-06-05,30,Central Hospital,4,111604,Active,2025-12-12T07:51:19.431025
141,EMP0141,Michael Smith,Pharmacist,Pediatrics,employee141@healthcare.com,+1-472-241-9806,2025-04-22,60,Metro Clinic,14,97742,On Leave,2025-12-12T07:51:19.431025
142,EMP0142,Sarah Davis,Receptionist,Neurology,employee142@healthcare.com,+1-272-196-4244,2022-04-16,30,Central Hospital,5,100137,Active,2025-12-12T07:51:19.431025
143,EMP0143,David Taylor,Administrator,Neurology,employee143@healthcare.com,+1-567-221-8162,2022-08-12,90,General Medical Center,14,118603,Active,2025-12-12T07:51:19.431025
144,EMP0144,Lisa Williams,Administrator,Orthopedics,employee144@healthcare.com,+1-514-544-5055,2020-12-13,90,General Medical Center,2,134755,Active,2025-12-12T07:51:19.431025
145,EMP0145,Maria Anderson,Pharmacist,Neurology,employee145@healthcare.com,+1-701-798-6995,2025-01-16,60,City Hospital,15,67553,Active,2025-12-12T07:51:19.431025
146,EMP0146,Sarah Moore,Lab Technician,Pediatrics,employee146@healthcare.com,+1-646-164-5579,2025-10-21,60,Metro Clinic,12,142784,Active,2025-12-12T07:51:19.431025
147,EMP0147,Jessica Wilson,Pharmacist,Emergency,employee147@healthcare.com,+1-365-450-8571,2022-05-06,30,Care Hospital,11,146625,Active,2025-12-12T07:51:19.431025
148,EMP0148,John Taylor,Pharmacist,Cardiology,employee148@healthcare.com,+1-625-523-2941,2023-02-20,90,Central Hospital,0,146430,On Leave,2025-12-12T07:51:19.431025
149,EMP0149,James Miller,Administrator,Surgery,employee149@healthcare.com,+1-236-772-1401,2022-01-14,30,City Hospital,4,141808,Active,2025-12-12T07:51:19.431025
150,EMP0150,John Wilson,Administrator,Orthopedics,employee150@healthcare.com,+1-895-898-7824,2024-03-10,30,City Hospital,14,99685,Active,2025-12-12T07:51:19.431025
151,EMP0151,Maria Miller,Doctor,Neurology,employee151@healthcare.com,+1-779-604-7969,2021-01-31,60,City Hospital,12,107914,Active,2025-12-12T07:51:19.431025
152,EMP0152,Sarah Wilson,Nurse,Neurology,employee152@healthcare.com,+1-758-362-1102,2023-10-29,60,General Medical Center,4,92161,Active,2025-12-12T07:51:19.431025
153,EMP0153,James Williams,Receptionist,Pediatrics,employee153@healthcare.com,+1-763-744-5340,2025-01-20,90,City Hospital,12,120706,Active,2025-12-12T07:51:19.431025
154,EMP0154,Emily Davis,Nurse,Emergency,employee154@healthcare.com,+1-794-221-9046,2024-05-13,60,Metro Clinic,15,118718,Active,2025-12-12T07:51:19.431025
155,EMP0155,Emily Miller,Administrator,Orthopedics,employee155@healthcare.com,+1-641-481-2628,2023-09-11,90,Metro Clinic,7,52216,Active,2025-12-12T07:51:19.431025
156,EMP0156,Maria Moore,Nurse,Neurology,employee156@healthcare.com,+1-240-431-4865,2023-04-27,30,Care Hospital,10,67459,On Leave,2025-12-12T07:51:19.431025
157,EMP0157,Lisa Williams,Pharmacist,Surgery,employee157@healthcare.com,+1-507-473-6161,2023-09-29,60,Central Hospital,4,50493,On Leave,2025-12-12T07:51:19.431025
